,写字楼名称,所在市区,租金,竣工时间,纬度,经度,geometry
282,旭和环保产业园,上海市闵行区,1.5-1.8元/m2/天,2014年,31.084793,121.520806,POINT (121.520806 31.084793)
283,汇宝中心,上海市浦东区,3.2-6元/m2/天,,31.147123,121.568042,POINT (121.568042 31.147123)
284,中融恒瑞国际大厦,上海市浦东区,4.4-8.6元/m2/天,2006年,31.227105,121.52012,POINT (121.52012 31.227105)
285,上服T·CAT时尚园,上海市长宁区,5.9元/m2/天,2019年,31.193697,121.420972,POINT (121.420972 31.193697)
286,宝山万达广场,上海市宝山区,2.3-5.49元/m2/天,2012年11月,31.32324,121.446422,POINT (121.446422 31.32324)
287,远中产业园,上海市徐汇区,3.6-5.2元/m2/天,2011年,31.171508,121.393578,POINT (121.393578 31.171508)
288,汇智?园满星空间（国企参股楼盘）,上海市闸北区,3.3-8元/m2/天,2017年,31.298212,121.456228,POINT (121.456228 31.298212)
289,东旅大厦,上海市浦东区,3-4.5元/m2/天,,31.215392,121.519705,POINT (121.519705 31.215392)
290,东方投资大厦（原名东方众鑫大厦）,上海市静安区,7.3-8.8元/m2/天,2003年,31.229935,121.463858,POINT (121.463858 31.229935)
291,世界贸易大厦（租售中）,上海市黄浦区,7.8-12元/m2/天,,31.231663,121.482466,POINT (121.482466 31.231663)
292,虹漕园,上海市徐汇区,2.5-4元/m2/天,1998年,31.175933,121.408152,POINT (121.408152 31.175933)
293,汇京国际广场,上海市徐汇区,5.5-7.6元/m2/天,2014年,31.196054,121.423821,POINT (121.423821 31.196054)
294,华一实业大厦,上海市闵行区,3.2-4.3元/m2/天,2004年5月,31.159822,121.394403,POINT (121.394403 31.159822)
295,江宁科创园,上海市静安区,5.45-8.7元/m2/天,,31.23861,121.449534,POINT (121.449534 31.23861)
296,建配龙家具广场,上海市宝山区,2-2.2元/m2/天,,31.338473,121.49467,POINT (121.49467 31.338473)
297,三九商务楼,上海市杨浦区,4-4.5元/m2/天,2015年,31.260496,121.520995,POINT (121.520995 31.260496)
298,中星城（国企楼盘）,上海市徐汇区,4.5-5.5元/m2/天,2013年10月,31.158315,121.429382,POINT (121.429382 31.158315)
299,明基广场,上海市长宁区,5.3-6.5元/m2/天,2014年10月,31.220159,121.360545,POINT (121.360545 31.220159)
